Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,LoanIncomeRatio,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,0,0,1,0,128000.0,30.0,1.0,1,5849.0,21.884082749187897,0,0,1
1,1,1,1,0,128000.0,30.0,1.0,0,6091.0,21.0146117222131,1,0,0
1,1,0,1,1,66000.0,30.0,1.0,1,3000.0,22.0,0,0,1
1,1,0,0,0,120000.0,30.0,1.0,1,4941.0,24.286581663630844,0,0,1
1,0,0,1,0,141000.0,30.0,1.0,1,6000.0,23.5,0,0,1
1,1,2,1,1,261500.0,30.0,1.0,1,9613.0,27.202746281077708,0,0,1
1,1,0,0,0,95000.0,30.0,1.0,1,3849.0,24.68173551571837,0,0,1
1,1,3,1,0,158000.0,30.0,0.0,0,5540.0,28.51985559566787,0,1,0
1,1,2,1,0,168000.0,30.0,1.0,1,5532.0,30.36876355748373,0,0,1
1,1,1,1,0,261500.0,30.0,1.0,0,15914.375,16.431685190276088,0,1,0
1,1,2,1,0,70000.0,30.0,1.0,1,3900.0,17.94871794871795,0,0,1
1,1,2,1,0,109000.0,30.0,1.0,1,4340.0,25.11520737327189,0,0,1
1,1,2,1,0,200000.0,30.0,1.0,1,8816.125,22.685703753066115,0,0,1
1,0,0,1,0,114000.0,30.0,1.0,0,4693.0,24.291497975708502,1,0,0
1,1,2,1,0,17000.0,10.0,1.0,1,2385.0,7.127882599580713,0,0,1
1,0,0,1,0,125000.0,30.0,1.0,1,4950.0,25.252525252525253,0,0,1
1,0,1,0,0,100000.0,20.0,1.0,1,3596.0,27.808676307007786,0,0,1
0,0,0,1,0,76000.0,30.0,0.0,0,3510.0,21.65242165242165,0,0,1
1,1,0,0,0,133000.0,30.0,1.0,0,4887.0,27.215060364231636,1,0,0
1,1,0,1,0,115000.0,30.0,1.0,1,6100.0,18.852459016393443,0,0,1
1,1,0,0,0,104000.0,30.0,0.0,0,7660.0,13.577023498694517,0,0,1
1,1,1,1,0,261500.0,30.0,1.0,1,11580.0,22.58203799654577,0,0,1
1,1,0,0,0,116000.0,30.0,0.0,0,4511.0,25.71491908667701,0,1,0
1,1,2,0,0,112000.0,30.0,0.0,0,5282.0,21.204089360090876,1,0,0
1,1,1,1,0,151000.0,30.0,1.0,0,6642.0,22.73411623005119,0,1,0
1,1,0,1,1,191000.0,30.0,1.0,1,9560.0,19.97907949790795,0,1,0
1,1,0,1,0,122000.0,30.0,1.0,1,5052.0,24.14885193982581,0,1,0
1,1,2,0,0,110000.0,30.0,1.0,1,5266.0,20.888720091150777,0,0,1
1,0,0,0,0,35000.0,30.0,1.0,0,1442.0,24.271844660194176,0,0,1
0,0,2,1,0,120000.0,30.0,1.0,1,5833.0,20.5726041488085,0,1,0
1,1,1,1,0,201000.0,30.0,1.0,0,7535.0,26.675514266755144,0,0,1
1,0,0,1,0,74000.0,30.0,1.0,0,3167.0,23.365961477739184,0,0,1
1,0,1,1,1,106000.0,30.0,1.0,0,4692.0,22.59164535379369,1,0,0
1,1,0,1,0,114000.0,30.0,1.0,1,5167.0,22.063092703696537,0,1,0
1,0,3,1,0,261500.0,30.0,1.0,0,13171.25,19.85384834393091,1,0,0
1,1,0,1,0,128000.0,30.0,1.0,1,4342.0,29.47950253339475,0,0,1
1,1,0,1,0,100000.0,30.0,0.0,0,3158.0,31.665611146295124,0,0,1
0,1,0,1,0,144000.0,30.0,1.0,1,5126.0,28.092079594225517,0,1,0
1,0,0,1,0,184000.0,30.0,1.0,1,9909.125,18.568743456157833,0,0,1
1,0,0,0,0,110000.0,30.0,1.0,1,5416.0,20.31019202363368,0,1,0
1,0,0,1,0,80000.0,30.0,1.0,0,3600.0,22.22222222222222,0,0,1
1,0,0,1,0,47000.0,30.0,1.0,1,3013.0,15.599070693660803,0,0,1
1,1,0,1,0,75000.0,30.0,1.0,1,2400.0,31.25,0,0,1
1,1,0,1,0,134000.0,30.0,1.0,1,6277.0,21.347777600764697,0,1,0
1,1,0,0,1,96000.0,30.0,1.0,1,4695.0,20.447284345047922,0,0,1
0,0,0,1,0,88000.0,30.0,1.0,1,3410.0,25.806451612903224,0,0,1
1,1,1,1,0,44000.0,30.0,1.0,1,5649.0,7.788989201628607,0,0,1
1,1,0,1,0,144000.0,30.0,1.0,1,5821.0,24.738017522762412,0,0,1
0,1,0,1,0,120000.0,30.0,0.0,0,6085.0,19.72062448644207,0,0,1
0,0,0,1,0,144000.0,30.0,1.0,1,6275.0,22.948207171314742,0,1,0
0,1,0,0,0,100000.0,30.0,1.0,1,3572.0,27.99552071668533,0,1,0
0,0,0,1,0,120000.0,30.0,1.0,1,3086.0,38.8852883992223,0,1,0
0,0,0,1,0,112000.0,30.0,1.0,0,4230.0,26.47754137115839,0,1,0
1,1,2,1,0,134000.0,30.0,1.0,0,4616.0,29.02946273830156,0,0,1
0,1,1,1,1,261500.0,30.0,0.0,0,10171.25,25.709721027405678,0,0,1
1,1,2,1,0,97000.0,30.0,1.0,1,3875.0,25.032258064516128,0,1,0
1,1,0,1,0,96000.0,30.0,1.0,1,3723.0,25.785656728444803,0,1,0
